1,肖申克的救赎,1392476人评价,希望让人自由。,9.6
2,霸王别姬,1031066人评价,风华绝代。,9.6
3,这个杀手不太冷,1272375人评价,怪蜀黍和小萝莉不得不说的故事。,9.4
4,阿甘正传,1096706人评价,一部美国近现代史。,9.4
5,美丽人生,641877人评价,最美的谎言。,9.5
6,泰坦尼克号,1037061人评价,失去的才是永恒的。 ,9.3
7,千与千寻,1022652人评价,最好的宫崎骏，最好的久石让。 ,9.3
8,辛德勒的名单,572660人评价,拯救一个人，就是拯救整个世界。,9.5
9,盗梦空间,1103846人评价,诺兰给了我们一场无法盗取的梦。,9.3
10,忠犬八公的故事,726634人评价,永远都不能忘记你所爱的人。,9.3
11,机器人总动员,731427人评价,小瓦力，大人生。,9.3
12,三傻大闹宝莱坞,990930人评价,英俊版憨豆，高情商版谢耳朵。,9.2
13,海上钢琴师,813781人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2
14,放牛班的春天,685834人评价,天籁一般的童声，是最接近上帝的存在。 ,9.3
15,楚门的世界,756826人评价,如果再也不能见到你，祝你早安，午安，晚安。,9.2
16,大话西游之大圣娶亲,766213人评价,一生所爱。,9.2
17,星际穿越,786631人评价,爱是一种力量，让我们超越时空感知它的存在。,9.2
18,龙猫,677445人评价,人人心中都有个龙猫，童年就永远不会消失。,9.2
19,教父,497519人评价,千万不要记恨你的对手，这样会让你失去理智。,9.2
20,熔炉,442497人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.3
21,无间道,629020人评价,香港电影史上永不过时的杰作。,9.1
22,疯狂动物城,863044人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.2
23,当幸福来敲门,801576人评价,平民励志片。 ,9.0
24,怦然心动,884836人评价,真正的幸福是来自内心深处。,9.0
25,触不可及,529384人评价,满满温情的高雅喜剧。,9.2
26,蝙蝠侠：黑暗骑士,511031人评价,无尽的黑暗。,9.1
27,乱世佳人,369242人评价,Tomorrow is another day.,9.2
28,活着,409629人评价,张艺谋最好的电影。,9.2
29,少年派的奇幻漂流,801450人评价,瑰丽壮观、无人能及的冒险之旅。,9.0
30,控方证人,175353人评价,比利·怀德满分作品。,9.6
31,天堂电影院,397021人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.2
32,鬼子来了,335024人评价,对敌人的仁慈，就是对自己残忍。,9.2
33,指环王3：王者无敌,401966人评价,史诗的终章。,9.1
34,十二怒汉,238584人评价,1957年的理想主义。 ,9.4
35,天空之城,470758人评价,对天空的追逐，永不停止。 ,9.1
36,摔跤吧！爸爸,765647人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.1
37,飞屋环游记,717259人评价,最后那些最无聊的事情，才是最值得怀念的。 ,8.9
38,大话西游之月光宝盒,618422人评价,旷古烁今。,9.0
39,搏击俱乐部,514836人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0
40,罗马假日,536638人评价,爱情哪怕只有一天。,9.0
41,哈尔的移动城堡,520294人评价,带着心爱的人在天空飞翔。,9.0
42,闻香识女人,458376人评价,史上最美的探戈。,9.0
43,辩护人,316774人评价,电影的现实意义大过电影本身。,9.2
44,窃听风暴,318342人评价,别样人生。,9.1
45,两杆大烟枪,352505人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1
46,末代皇帝,309152人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,9.1
47,飞越疯人院,355172人评价,自由万岁。,9.1
